text,label,clean_text,finbert_label
Democratic senators asked online education companies not to give law enforcement any student data relating to abortion  https://t.co/ajd4ZMiHEi,16,democratic senators asked online education companies not to give law enforcement any student data relating to abortion  ,0
"$TRV - Travelers Q2 earnings decline on higher catastrophe losses, lower investment income  https://t.co/LusaNoGo3b",7,trv  travelers q2 earnings decline on higher catastrophe losses lower investment income  ,2
"In China, the government usually gets what it wants. That's what made Beijing's vaccine mandate reversal so interesting  https://t.co/HQ52EWxvjK",9,in china the government usually gets what it wants thats what made beijings vaccine mandate reversal so interesting  ,0
Reports Italy’s Draghi Will Resign - RTRS Citing Govt Statement    $EUR,1,reports italys draghi will resign  rtrs citing govt statement    eur,0
Esri Launches Indoor Positioning System for Facility Wayfinding  https://t.co/uSWeV8TUoH  https://t.co/KaUrIMqCNd,2,esri launches indoor positioning system for facility wayfinding    ,0
"WSJ reporting $NCR in talks to be sold to PE-firm Veritas, a day after 20,000 August 31/38 call spreads bought to open for 2.30  https://t.co/mJWBckEHYD",13,wsj reporting ncr in talks to be sold to pefirm veritas a day after 20000 august 3138 call spreads bought to open for 230  ,0
'Internal error' cited as Twitter suffers site outage  https://t.co/n6iZTvb8hi,2,internal error cited as twitter suffers site outage  ,2
Nissan is going on the offensive 🔋  https://t.co/WcxxI7qg4B,2,nissan is going on the offensive   ,0
"The private-equity giant has closed on commitments totaling $24.1 billion for the latest iteration of its main real-estate fund, which is expected to total $30.3 billion when it is finalized  https://t.co/4bwl3iMT4P",2,the privateequity giant has closed on commitments totaling 241 billion for the latest iteration of its main realestate fund which is expected to total 303 billion when it is finalized  ,0
An increasing number of economists think BOJ Governor Haruhiko Kuroda won’t budge on rates in the final lap of his term  https://t.co/cshAU76LFi,1,an increasing number of economists think boj governor haruhiko kuroda wont budge on rates in the final lap of his term  ,0
Copper rout worsens as recession fears hammer commodities markets  https://t.co/bRIUzyr8c1,6,copper rout worsens as recession fears hammer commodities markets  ,2
Cumby Group Launches New Division Focused on Moderately Priced Homes  https://t.co/AraVY2Rjda  https://t.co/XHHLIZFXFa,2,cumby group launches new division focused on moderately priced homes    ,0
Weekend News: Italian Right-Wing Parties Reject Coalition Partner As Government Heads Toward Collapse - Politico    https://t.co/2bZgrZVhLZ,16,weekend news italian rightwing parties reject coalition partner as government heads toward collapse  politico    ,0
Maine Water’s New Saco River Drinking Water Resource Center Earns Envision Silver Award for Sustainable Infrastructure  https://t.co/1XgROU5Bkz  https://t.co/C4kJIkZmVB,2,maine waters new saco river drinking water resource center earns envision silver award for sustainable infrastructure    ,1
$NFLX - Is Netflix Stock A Sell Before Upcoming Earnings? Consider Short-Term Vs. Long-Term Outlook.  https://t.co/0OQEDPo9uU #business #finance #investing,5,nflx  is netflix stock a sell before upcoming earnings consider shortterm vs longterm outlook   business finance investing,2
$TSLA day trade taken off near the close.  It didn't reach the price I needed to swing it.  I made great $ and will look at it again tomorrow.,18,tsla day trade taken off near the close  it didnt reach the price i needed to swing it  i made great  and will look at it again tomorrow,0
"Before the company can make Wegovy mainstream, it has to convince doctors to prescribe it (and insurers and governments to pay for it), persuade patients to sign up for some heinous side effects, and address assumptions about obesity and weight-loss drugs.  https://t.co/8Uf0OdCRxj  https://t.co/FpwqM8RGzL",2,before the company can make wegovy mainstream it has to convince doctors to prescribe it and insurers and governments to pay for it persuade patients to sign up for some heinous side effects and address assumptions about obesity and weightloss drugs    ,0
"BLACKROCK SHARES LOSE GROUND SLIGHTLY AFTER BUSINESS INSIDER REPORTS IT TOLD EMPLOYEES SLOWING HIRING CITING ECONOMIC UNCERTAINTY, LAST DOWN 1.3%",19,blackrock shares lose ground slightly after business insider reports it told employees slowing hiring citing economic uncertainty last down 13,2
$XLK: Sector Briefing: Technology  https://t.co/itVwQxLi00,18,xlk sector briefing technology  ,0
Why this ugly S&amp;P 500 streak cautions against chasing bear-market bounces  https://t.co/l2cSS0MmkN,15,why this ugly sampp 500 streak cautions against chasing bearmarket bounces  ,2
$BOXD nice action so far.... squeeze over 2.25  https://t.co/juM7ogPb5h,18,boxd nice action so far squeeze over 225  ,1
Half-year Report on the Nanobiotix Liquidity Contract With Gilbert Dupont  https://t.co/AQ83tInCAQ,2,halfyear report on the nanobiotix liquidity contract with gilbert dupont  ,0
$ACLS - Axcelis Technologies (ACLS) Presents At SEMICon West 2022 - Slideshow.  https://t.co/W7V1w2FeNq #finance #economy #trading,2,acls  axcelis technologies acls presents at semicon west 2022  slideshow   finance economy trading,0
"From @Breakingviews: After Elon Musk ditched his $44 billion buyout of Twitter, the social network hired a law firm to plan a lawsuit to enforce the merger agreement. The legal ammunition could be messy, says @GinaChon  https://t.co/JPG7LIEZDI  https://t.co/JPG7LIEZDI",13,from breakingviews after elon musk ditched his 44 billion buyout of twitter the social network hired a law firm to plan a lawsuit to enforce the merger agreement the legal ammunition could be messy says ginachon    ,0
Genomic Vision: Additional Contribution to the Liquidity Contract Concluded with CM-CIC Securities  https://t.co/hV3wleT2uw,2,genomic vision additional contribution to the liquidity contract concluded with cmcic securities  ,0
"No matter how much ECB officials dismiss the prospect of starting interest-rate hikes with a half-point move this week, there’s still a case for it  https://t.co/xr4yEUEjc1",1,no matter how much ecb officials dismiss the prospect of starting interestrate hikes with a halfpoint move this week theres still a case for it  ,0
"Republic Bancorp, Inc. Declares Common Stock Dividends  https://t.co/ewIiA7jfen  https://t.co/lknakMKzC6",4,republic bancorp inc declares common stock dividends    ,0
"South Africa’s indebted power utility may need to borrow an extra $2.6 billion to purchase diesel and pay inflation-beating salaries to workers, according to S&amp;P Global Ratings  https://t.co/dC9ZIUZ9Ud",3,south africas indebted power utility may need to borrow an extra 26 billion to purchase diesel and pay inflationbeating salaries to workers according to sampp global ratings  ,0
"Susquehanna downgrades JetBlue, cites struggles with cost structure  https://t.co/eVYtLZGWaf",0,susquehanna downgrades jetblue cites struggles with cost structure  ,2
$GOOGL pushing here at the end of day. (still own it here),18,googl pushing here at the end of day still own it here,0
MJP Wealth Advisors Named to Financial Advisor Magazine’s 2022 Top 50 Fastest Growing Firms List  https://t.co/C2MjdZorHw  https://t.co/fg6hY1Rh0r,2,mjp wealth advisors named to financial advisor magazines 2022 top 50 fastest growing firms list    ,0
$CTSH: Cognizant Tech signed a new multi-year agreement with Organon (OGN) to help improve the company's delivery of...  https://t.co/Jid0H5wD9e,2,ctsh cognizant tech signed a new multiyear agreement with organon ogn to help improve the companys delivery of  ,1
"Japan Business Mood Subdued On Chip Shortage, Raw Material Costs - RTRS   https://t.co/SfjIOsymYG",14,japan business mood subdued on chip shortage raw material costs  rtrs   ,2
Fulton Financial Corporation announces dates for second quarter 2022 earnings release and webcast  https://t.co/8zElGEcoHF  https://t.co/nEothZ31uf,5,fulton financial corporation announces dates for second quarter 2022 earnings release and webcast    ,0
"A Russian court allowed a crucial export route for Kazakh oil to keep operating, throwing out an order from a lower authority for a 30-day halt  https://t.co/KcdxKzCA3v",6,a russian court allowed a crucial export route for kazakh oil to keep operating throwing out an order from a lower authority for a 30day halt  ,0
"Snarls along the aviation supply chain may make it a challenge for Embraer to meet its year-end commercial delivery targets, the Brazilian aerospace manufacturer said  https://t.co/HJpdI1511m",2,snarls along the aviation supply chain may make it a challenge for embraer to meet its yearend commercial delivery targets the brazilian aerospace manufacturer said  ,2
$ENRFF $EXTN - Exterran: Merger Spread Is Too Attractive To Ignore.  https://t.co/RxRg95gKM7 #economy #business #stocks,13,enrff extn  exterran merger spread is too attractive to ignore   economy business stocks,2
Asset management: higher rates and volatile markets pile on the pressure  https://t.co/VkHvP9VXAX,9,asset management higher rates and volatile markets pile on the pressure  ,2
"Sri Lanka is continuing negotiations with China for as much as $4 billion in aid and is confident Beijing will agree “at some point,” according to a top envoy  https://t.co/siBG0aUiOe",14,sri lanka is continuing negotiations with china for as much as 4 billion in aid and is confident beijing will agree at some point according to a top envoy  ,1
What is the most interesting historical story from our stock market that most people know nothing about?,9,what is the most interesting historical story from our stock market that most people know nothing about,1
Kemi Badenoch out of Tory leadership race  https://t.co/BbwAdsqu7k,16,kemi badenoch out of tory leadership race  ,0
$DVYE - 2 Reasons To Avoid DVYE: China And A Scary Total Return.  https://t.co/FVXjOCf0Lc #business #stocks #markets,18,dvye  2 reasons to avoid dvye china and a scary total return   business stocks markets,2
$GRIN - Grindrod Shipping Looks Fundamentally And Technically Oversold.  https://t.co/5xh1MSgfhF #investing #trading #stockmarket,18,grin  grindrod shipping looks fundamentally and technically oversold   investing trading stockmarket,2
Endevica Bio Doses First Patient in Phase 1 Clinical Trial of TCMCB07 for the Treatment of Cachexia  https://t.co/MEnWHgLNna  https://t.co/UPYvxRv6aU,2,endevica bio doses first patient in phase 1 clinical trial of tcmcb07 for the treatment of cachexia    ,0
$ILMN - Illumina loses EU antitrust probe challenge for Grail acquisition  https://t.co/SwSA46ajdQ,12,ilmn  illumina loses eu antitrust probe challenge for grail acquisition  ,2
"Iris Technologies Raises $3 Million Seed Round, Introduces Communication Hub to Simplify Construction Project Management  https://t.co/ucqlwMO5S0  https://t.co/r4mNPYPw9L",2,iris technologies raises 3 million seed round introduces communication hub to simplify construction project management    ,0
The Bank of Canada raised its policy rate by a full percentage point and judged that further rate increases are needed to drive down inflation  https://t.co/R9omKkTY4O,1,the bank of canada raised its policy rate by a full percentage point and judged that further rate increases are needed to drive down inflation  ,0
"UKRAINE MINISTRY SAYS MONTHLY GRAIN EXPORTS COULD BE INCREASED BY 500,000 TONNES IF BACKLOG CLEARS THROUGH BYSTRE",14,ukraine ministry says monthly grain exports could be increased by 500000 tonnes if backlog clears through bystre,0
"$RLGT - Radiant Logistics: Business Is Booming Thanks To Supply Chain Disruptions, I'm Bullish.  https://t.co/CLN6J6TPWa #markets #trading #stockmarket",18,rlgt  radiant logistics business is booming thanks to supply chain disruptions im bullish   markets trading stockmarket,1
"Just a year into office, Biden’s aggressive climate plans are losing momentum.   Here’s what’s happened — and what the path forward around political and wildcard obstacles could look like  https://t.co/qIQNzBBb57",16,just a year into office bidens aggressive climate plans are losing momentum   heres whats happened  and what the path forward around political and wildcard obstacles could look like  ,2
PBOC Fixes Yuan Mid-Point Against The Dollar At 6.7447 (est 6.7458; prev 6.7503),8,pboc fixes yuan midpoint against the dollar at 67447 est 67458 prev 67503,0
$VIR: Vir Biotechnology chief scientific officer to step down  https://t.co/mO0hR4WeSK,17,vir vir biotechnology chief scientific officer to step down  ,0
$RMCF - Rocky Mountain Chocolate Factory picks financial veteran as CFO  https://t.co/ndJRwDqkft,17,rmcf  rocky mountain chocolate factory picks financial veteran as cfo  ,0
$XLV: Sector Briefing: Healthcare  https://t.co/JGOC0SnlXg,18,xlv sector briefing healthcare  ,0
"A coming copper shortage could derail the energy transition, a new report finds.  https://t.co/Ex9G4bOoUU",6,a coming copper shortage could derail the energy transition a new report finds  ,2
A lithium producer crucial for global automakers like Tesla plans to explore for metals in a Chinese region tied to allegations of human rights abuses  https://t.co/SKdrV3GibL,2,a lithium producer crucial for global automakers like tesla plans to explore for metals in a chinese region tied to allegations of human rights abuses  ,2
"Bank of America upgrades Honeywell to buy, citing potential growth in aerospace and oil and gas  https://t.co/LY8knvUUoJ",0,bank of america upgrades honeywell to buy citing potential growth in aerospace and oil and gas  ,1
$GTES - Gates Industrial: Buying On A Confirmed Bottom.  https://t.co/yEFtAi4EBV #markets #stockmarket #finance,18,gtes  gates industrial buying on a confirmed bottom   markets stockmarket finance,0
"KB Home Announces the Grand Opening of Lotus, a New Townhome Community in Highly Desirable Arcadia, California  https://t.co/Q38RRWuhmn  https://t.co/Leo6CtRjnM",2,kb home announces the grand opening of lotus a new townhome community in highly desirable arcadia california    ,0
".@ESABCorp, a leader in fabrication and specialty gas technology, is introducing over 110 new products this year.   We talk with CEO Sham Kambeyanda about the company’s continued growth and competitive advantage. #NYSEFloorTalk🏛️  https://t.co/UVPWFHaPcN",2,esabcorp a leader in fabrication and specialty gas technology is introducing over 110 new products this year   we talk with ceo sham kambeyanda about the companys continued growth and competitive advantage nysefloortalk  ,1
WH Kirby: US Has Information Russia Is ‘Laying Groundwork’ To Annex Ukrainian Territory,16,wh kirby us has information russia is laying groundwork to annex ukrainian territory,0
Fluor Awarded Contract for New Fortress Energy Fast Liquefied Natural Gas (LNG) Project  https://t.co/3UUo2ddokr  https://t.co/3Mea8waTU4,2,fluor awarded contract for new fortress energy fast liquefied natural gas lng project    ,1
EU edges closer to ending 'too-big-to-fail' banks by 2024  https://t.co/CPwWL2fUfy  https://t.co/hHRKPEYg6I,14,eu edges closer to ending toobigtofail banks by 2024    ,0
"NEW: These are the world's most powerful passports, according to the Henley Passport Index 2022  https://t.co/NBwGg9ZOYz",9,new these are the worlds most powerful passports according to the henley passport index 2022  ,1
JAPAN'S NIKKEI AVERAGE FUTURES DOWN 0.45% IN EARLY TRADE,15,japans nikkei average futures down 045 in early trade,2
"Shareholder Update: Robbins LLP Reminds Investors of Class Action Against Outset Medical, Inc. (OM)  https://t.co/9Qw4oycViy  https://t.co/kNPuZpSOX5",12,shareholder update robbins llp reminds investors of class action against outset medical inc om    ,0
US SENATE CONFIRMS BARR AS FED'S CHIEF BANKING SUPERVISOR,1,us senate confirms barr as feds chief banking supervisor,0
$BLTE - Belite seeks FDA nod to proceed with phase 3 trial of genetic eye disease treatment  https://t.co/YJ5zN38W8W,2,blte  belite seeks fda nod to proceed with phase 3 trial of genetic eye disease treatment  ,0
"A divergence in stress levels between China’s offshore and local credit markets is widening, as defaults on overseas notes hit a record even as calm reigns onshore  https://t.co/ibtGiEPMG3",3,a divergence in stress levels between chinas offshore and local credit markets is widening as defaults on overseas notes hit a record even as calm reigns onshore  ,2
HSBC Bank Plc UK Regulatory Announcement: Early Repurchase(s)  https://t.co/K6lk4QnVvb  https://t.co/o0QulKmR8Y,2,hsbc bank plc uk regulatory announcement early repurchases    ,0
$SPY $SPX $ES_F     Showing how the Doji's and Spinning Top's have worked. 💸    Key reversal candles here that work SO SO WELL! 🚨    Looking to use these candles after a strong trend as the 3 we have shown above in the white circles.      https://t.co/Qh6OrszzhO  https://t.co/lwdn5878rK,18,spy spx es_f     showing how the dojis and spinning tops have worked     key reversal candles here that work so so well     looking to use these candles after a strong trend as the 3 we have shown above in the white circles        ,0
$HOOD HOD ......,18,hood hod ,0
China's strict Covid lockdowns and a shrinking economy threaten to spread financial risk beyond the property sector.  Bloomberg’s China credit tracker shows where the biggest risks lie ⬇️  https://t.co/xXBBOSavLD,14,chinas strict covid lockdowns and a shrinking economy threaten to spread financial risk beyond the property sector  bloombergs china credit tracker shows where the biggest risks lie   ,2
ABB net profit and revenue miss estimates amid supply-chain strains  https://t.co/mba8AtfPiZ,7,abb net profit and revenue miss estimates amid supplychain strains  ,2
S.Korea shipyard workers willing to end strike if lawsuits dropped  https://t.co/oS8i5IY8w0  https://t.co/RsG4kV2VbF,12,skorea shipyard workers willing to end strike if lawsuits dropped    ,0
"$GLD $GDX $XAUUSD:CUR - Gold slips to lowest since September on strengthening dollar, rising yields  https://t.co/Lqz5KwgMFA",10,gld gdx xauusdcur  gold slips to lowest since september on strengthening dollar rising yields  ,2
"Rev. Al Sharpton Joins Delaware Activists in Sounding Alarm over Twitter’s New Chancery Court ‘Fixer,’ Leo Strine  https://t.co/0vavq1dT52  https://t.co/RJbLxZAhD8",2,rev al sharpton joins delaware activists in sounding alarm over twitters new chancery court fixer leo strine    ,0
Halliburton posted its biggest profit in almost four years as the growing isolation of oil powerhouse Russia spurs fracking in other crude-rich regions  https://t.co/MY0ZtY8OtX,7,halliburton posted its biggest profit in almost four years as the growing isolation of oil powerhouse russia spurs fracking in other cruderich regions  ,1
